salloc -N 2 --ntasks-per-node=1

task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 283  1566989656.43411183  1566989656.43411446  0.00000262
 284  1566989656.43411660  1566989656.43411922  0.00000262
 285  1566989656.43412137  1566989656.43412375  0.00000238
 286  1566989656.43412614  1566989656.43412852  0.00000238
 287  1566989656.43413091  1566989656.43413329  0.00000238
 288  1566989656.43413544  1566989656.43413806  0.00000262
 289  1566989656.43414021  1566989656.43414283  0.00000262
 290  1566989656.43414521  1566989656.43414760  0.00000238
 291  1566989656.43414998  1566989656.43415236  0.00000238
 292  1566989656.43415451  1566989656.43415737  0.00000286
 293  1566989656.43415952  1566989656.43416214  0.00000262
 294  1566989656.43416429  1566989656.43416691  0.00000262
 295  1566989656.43416905  1566989656.43417168  0.00000262
 296  1566989656.43417382  1566989656.43417621  0.00000238
 297  1566989656.43417859  1566989656.43418097  0.00000238
 298  1566989656.43418312  1566989656.43418574  0.00000262
 299  1566989656.43418789  1566989656.43419027  0.00000238
 300  1566989656.43419266  1566989656.43419504  0.00000238
 301  1566989656.43419743  1566989656.43420029  0.00000286
 302  1566989656.43420267  1566989656.43420506  0.00000238
 303  1566989656.43420720  1566989656.43420959  0.00000238
 304  1566989656.43421197  1566989656.43421435  0.00000238
 305  1566989656.43421674  1566989656.43421912  0.00000238
 306  1566989656.43422127  1566989656.43422389  0.00000262
 307  1566989656.43422604  1566989656.43422842  0.00000238
 308  1566989656.43423080  1566989656.43423319  0.00000238
 309  1566989656.43423533  1566989656.43423796  0.00000262
 310  1566989656.43424010  1566989656.43424249  0.00000238
 311  1566989656.43424487  1566989656.43424726  0.00000238
 312  1566989656.43424940  1566989656.43425179  0.00000238
 313  1566989656.43425417  1566989656.43425655  0.00000238
 314  1566989656.43425894  1566989656.43426132  0.00000238
 315  1566989656.43426347  1566989656.43426609  0.00000262
 316  1566989656.43426824  1566989656.43427062  0.00000238
 317  1566989656.43427300  1566989656.43427539  0.00000238
 318  1566989656.43427753  1566989656.43427992  0.00000238
 319  1566989656.43428230  1566989656.43428469  0.00000238
 320  1566989656.43428707  1566989656.43428946  0.00000238
 321  1566989656.43429160  1566989656.43429422  0.00000262
 322  1566989656.43429637  1566989656.43429899  0.00000262
 323  1566989656.43430114  1566989656.43430376  0.00000262
 324  1566989656.43430591  1566989656.43430829  0.00000238
 325  1566989656.43431067  1566989656.43431306  0.00000238
 326  1566989656.43431520  1566989656.43431783  0.00000262
 327  1566989656.43431997  1566989656.43432260  0.00000262
 328  1566989656.43432474  1566989656.43432713  0.00000238
 329  1566989656.43432951  1566989656.43433189  0.00000238
 330  1566989656.43433404  1566989656.43433976  0.00000572
 331  1566989656.43434191  1566989656.43434429  0.00000238
 332  1566989656.43434668  1566989656.43434906  0.00000238
 333  1566989656.43435121  1566989656.43435383  0.00000262
 334  1566989656.43435597  1566989656.43437314  0.00001717
 335  1566989656.43437552  1566989656.43438125  0.00000572
 336  1566989656.43438363  1566989656.43438649  0.00000286
 337  1566989656.43438864  1566989656.43439126  0.00000262
 338  1566989656.43439341  1566989656.43439603  0.00000262
 339  1566989656.43439841  1566989656.43440104  0.00000262
 340  1566989656.43440318  1566989656.43441629  0.00001311
 341  1566989656.43441844  1566989656.43442106  0.00000262
 342  1566989656.43442321  1566989656.43442583  0.00000262
 343  1566989656.43442798  1566989656.43443036  0.00000238
 344  1566989656.43443251  1566989656.43443513  0.00000262
